sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
site.04.subj.03485.lab.912009.iso.1,walker2022,35373160,ERS5285475,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03487.lab.904712.iso.1,walker2022,35373160,ERS5285448,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03493.lab.824665.iso.1,walker2022,35373160,ERS5283981,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03494.lab.828960.iso.1,walker2022,35373160,ERS5284168,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03496.lab.826752.iso.1,walker2022,35373160,ERS5284072,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03498.lab.824294.iso.1,walker2022,35373160,ERS5283970,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03499.lab.827478.iso.1,walker2022,35373160,ERS5284098,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03500.lab.828647.iso.1,walker2022,35373160,ERS5284152,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03501.lab.832014.iso.1,walker2022,35373160,ERS5284290,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03504.lab.829540.iso.1,walker2022,35373160,ERS5284199,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03506.lab.828529.iso.1,walker2022,35373160,ERS5284146,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03508.lab.827362.iso.1,walker2022,35373160,ERS5284092,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03509.lab.828917.iso.1,walker2022,35373160,ERS5284164,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03510.lab.829376.iso.1,walker2022,35373160,ERS5284185,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03511.lab.828495.iso.1,walker2022,35373160,ERS5284143,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03512.lab.829895.iso.1,walker2022,35373160,ERS5284220,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03514.lab.829103.iso.1,walker2022,35373160,ERS5284174,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03515.lab.828666.iso.1,walker2022,35373160,ERS5284154,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03519.lab.912126.iso.1,walker2022,35373160,ERS5285479,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03525.lab.828537.iso.1,walker2022,35373160,ERS5284148,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03526.lab.828342.iso.1,walker2022,35373160,ERS5284136,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03527.lab.825981.iso.1,walker2022,35373160,ERS5284043,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03528.lab.829149.iso.1,walker2022,35373160,ERS5284176,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03529.lab.829855.iso.1,walker2022,35373160,ERS5284216,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03531.lab.825618.iso.1,walker2022,35373160,ERS5284028,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03533.lab.829545.iso.1,walker2022,35373160,ERS5284623,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03537.lab.828949.iso.1,walker2022,35373160,ERS5284166,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03539.lab.826817.iso.1,walker2022,35373160,ERS5284893,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03540.lab.828849.iso.1,walker2022,35373160,ERS5284160,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03541.lab.828165.iso.1,walker2022,35373160,ERS5284125,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03542.lab.826122.iso.1,walker2022,35373160,ERS5284611,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03544.lab.829760.iso.1,walker2022,35373160,ERS5284938,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03545.lab.827703.iso.1,walker2022,35373160,ERS5284916,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03546.lab.828627.iso.1,walker2022,35373160,ERS5284619,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03548.lab.828337.iso.1,walker2022,35373160,ERS5284135,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03553.lab.828663.iso.1,walker2022,35373160,ERS5284620,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03554.lab.828586.iso.1,walker2022,35373160,ERS5284618,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03555.lab.830010.iso.1,walker2022,35373160,ERS5284222,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03556.lab.829488.iso.1,walker2022,35373160,ERS5284194,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03557.lab.828244.iso.1,walker2022,35373160,ERS5284615,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03558.lab.823529.iso.1,walker2022,35373160,ERS5283946,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03560.lab.827313.iso.1,walker2022,35373160,ERS5284091,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03563.lab.913707.iso.1,walker2022,35373160,ERS5285526,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03566.lab.824532.iso.1,walker2022,35373160,ERS5284610,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03568.lab.829571.iso.1,walker2022,35373160,ERS5284625,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03570.lab.830058.iso.1,walker2022,35373160,ERS5284629,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03571.lab.829922.iso.1,walker2022,35373160,ERS5284940,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03575.lab.828376.iso.1,walker2022,35373160,ERS5284137,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03578.lab.828036.iso.1,walker2022,35373160,ERS5284614,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03581.lab.826782.iso.1,walker2022,35373160,ERS5284892,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03582.lab.828567.iso.1,walker2022,35373160,ERS5284149,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03584.lab.912621.iso.1,walker2022,35373160,ERS5285495,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03586.lab.818896.iso.1,walker2022,35373160,ERS5284437,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03587.lab.828758.iso.1,walker2022,35373160,ERS5284156,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03588.lab.829056.iso.1,walker2022,35373160,ERS5284172,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03589.lab.828791.iso.1,walker2022,35373160,ERS5284158,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03590.lab.818735.iso.1,walker2022,35373160,ERS5284436,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03592.lab.829100.iso.1,walker2022,35373160,ERS5284173,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03593.lab.829519.iso.1,walker2022,35373160,ERS5284197,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03594.lab.829303.iso.1,walker2022,35373160,ERS5284180,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03596.lab.828927.iso.1,walker2022,35373160,ERS5284165,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03597.lab.829381.iso.1,walker2022,35373160,ERS5284186,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03598.lab.827147.iso.1,walker2022,35373160,ERS5284086,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03601.lab.821968.iso.1,walker2022,35373160,ERS5283924,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03602.lab.829428.iso.1,walker2022,35373160,ERS5284621,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03603.lab.826862.iso.1,walker2022,35373160,ERS5284075,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03604.lab.829371.iso.1,walker2022,35373160,ERS5284183,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03605.lab.828898.iso.1,walker2022,35373160,ERS5284161,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03607.lab.830102.iso.1,walker2022,35373160,ERS5284226,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03608.lab.829765.iso.1,walker2022,35373160,ERS5284208,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03609.lab.829339.iso.1,walker2022,35373160,ERS5284182,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03612.lab.830276.iso.1,walker2022,35373160,ERS5284233,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03613.lab.827513.iso.1,walker2022,35373160,ERS5284102,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03615.lab.828310.iso.1,walker2022,35373160,ERS5284133,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03616.lab.829164.iso.1,walker2022,35373160,ERS5284177,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03617.lab.830304.iso.1,walker2022,35373160,ERS5284942,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03618.lab.829454.iso.1,walker2022,35373160,ERS5284622,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03619.lab.826279.iso.1,walker2022,35373160,ERS5284612,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03620.lab.827579.iso.1,walker2022,35373160,ERS5284105,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03621.lab.824139.iso.1,walker2022,35373160,ERS5284609,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03622.lab.830059.iso.1,walker2022,35373160,ERS5284941,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03623.lab.828671.iso.1,walker2022,35373160,ERS5284934,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03624.lab.825143.iso.1,walker2022,35373160,ERS5284008,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03625.lab.829610.iso.1,walker2022,35373160,ERS5284627,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03626.lab.829563.iso.1,walker2022,35373160,ERS5284624,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03627.lab.827849.iso.1,walker2022,35373160,ERS5284920,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03628.lab.829574.iso.1,walker2022,35373160,ERS5284626,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03630.lab.828569.iso.1,walker2022,35373160,ERS5284617,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03631.lab.829403.iso.1,walker2022,35373160,ERS5284189,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03632.lab.827666.iso.1,walker2022,35373160,ERS5284111,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03634.lab.829848.iso.1,walker2022,35373160,ERS5284214,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03635.lab.831197.iso.1,walker2022,35373160,ERS5284265,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03637.lab.828533.iso.1,walker2022,35373160,ERS5284147,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03638.lab.829020.iso.1,walker2022,35373160,ERS5284936,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03646.lab.JJH9567.iso.1,walker2022,35373160,ERS5285046,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03647.lab.JJH9150.iso.1,walker2022,35373160,ERS5284404,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03648.lab.JJH9682.iso.1,walker2022,35373160,ERS5284413,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03649.lab.JJH8758.iso.1,walker2022,35373160,ERS5285043,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03650.lab.913397.iso.1,walker2022,35373160,ERS5285517,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03651.lab.913230.iso.1,walker2022,35373160,ERS5285509,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03652.lab.912331.iso.1,walker2022,35373160,ERS5285483,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03654.lab.JJH9867.iso.1,walker2022,35373160,ERS5284417,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03655.lab.JJH10646.iso.1,walker2022,35373160,ERS5284396,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03656.lab.JJH10049.iso.1,walker2022,35373160,ERS5284387,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03659.lab.912633.iso.1,walker2022,35373160,ERS5285496,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03660.lab.JJH9947.iso.1,walker2022,35373160,ERS5284419,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03661.lab.902027.iso.1,walker2022,35373160,ERS5284543,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03663.lab.JJH8678.iso.1,walker2022,35373160,ERS5284401,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03664.lab.JJH9951.iso.1,walker2022,35373160,ERS5284420,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03665.lab.JJH10041.iso.1,walker2022,35373160,ERS5284386,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03666.lab.912713.iso.1,walker2022,35373160,ERS5285499,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03669.lab.JJH9211.iso.1,walker2022,35373160,ERS5284405,PRJEB41116,NA,NA,R,NA,NA
site.04.subj.03670.lab.JJH9840.iso.1,walker2022,35373160,ERS5284415,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03671.lab.JJH10007.iso.1,walker2022,35373160,ERS5284384,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03673.lab.912482.iso.1,walker2022,35373160,ERS5285487,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03684.lab.JJH10025.iso.1,walker2022,35373160,ERS5285039,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03686.lab.JJH9617.iso.1,walker2022,35373160,ERS5284408,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03688.lab.JJH10305.iso.1,walker2022,35373160,ERS5285041,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03693.lab.901838.iso.1,walker2022,35373160,ERS5284533,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03697.lab.912284.iso.1,walker2022,35373160,ERS5285482,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03702.lab.JJH9948.iso.1,walker2022,35373160,ERS5285048,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03718.lab.JJH10334.iso.1,walker2022,35373160,ERS5284393,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03719.lab.JJH10406.iso.1,walker2022,35373160,ERS5284395,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03727.lab.833144.iso.1,walker2022,35373160,ERS5284465,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03733.lab.JJH9709.iso.1,walker2022,35373160,ERS5285047,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03736.lab.JJH10151.iso.1,walker2022,35373160,ERS5284390,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03738.lab.912034.iso.1,walker2022,35373160,ERS5285476,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03740.lab.900261.iso.1,walker2022,35373160,ERS5284471,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03741.lab.826347.iso.1,walker2022,35373160,ERS5284059,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03742.lab.827813.iso.1,walker2022,35373160,ERS5284117,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03743.lab.829408.iso.1,walker2022,35373160,ERS5284190,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03744.lab.829607.iso.1,walker2022,35373160,ERS5284201,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03745.lab.830104.iso.1,walker2022,35373160,ERS5284227,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03750.lab.828912.iso.1,walker2022,35373160,ERS5284163,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03751.lab.830496.iso.1,walker2022,35373160,ERS5284239,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03753.lab.912525.iso.1,walker2022,35373160,ERS5285490,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03757.lab.830589.iso.1,walker2022,35373160,ERS5284243,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03758.lab.912494.iso.1,walker2022,35373160,ERS5285488,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03759.lab.911692.iso.1,walker2022,35373160,ERS5285470,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03760.lab.828966.iso.1,walker2022,35373160,ERS5284170,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03761.lab.831590.iso.1,walker2022,35373160,ERS5284275,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03763.lab.830952.iso.1,walker2022,35373160,ERS5284945,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03764.lab.829856.iso.1,walker2022,35373160,ERS5284939,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03765.lab.911878.iso.1,walker2022,35373160,ERS5285473,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03767.lab.831236.iso.1,walker2022,35373160,ERS5284266,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03771.lab.910662.iso.1,walker2022,35373160,ERS5285464,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03772.lab.901732.iso.1,walker2022,35373160,ERS5284530,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03776.lab.830303.iso.1,walker2022,35373160,ERS5284234,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03777.lab.829676.iso.1,walker2022,35373160,ERS5284205,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03781.lab.828828.iso.1,walker2022,35373160,ERS5284159,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03782.lab.829533.iso.1,walker2022,35373160,ERS5284198,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03784.lab.828399.iso.1,walker2022,35373160,ERS5284139,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03792.lab.912167.iso.1,walker2022,35373160,ERS5285480,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03807.lab.831359.iso.1,walker2022,35373160,ERS5284946,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03808.lab.830040.iso.1,walker2022,35373160,ERS5284224,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03810.lab.832345.iso.1,walker2022,35373160,ERS5284460,PRJEB41116,NA,R,S,NA,NA
site.04.subj.03811.lab.828657.iso.1,walker2022,35373160,ERS5284153,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03813.lab.829758.iso.1,walker2022,35373160,ERS5284207,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03814.lab.828392.iso.1,walker2022,35373160,ERS5284138,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03815.lab.829468.iso.1,walker2022,35373160,ERS5284192,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03816.lab.830264.iso.1,walker2022,35373160,ERS5284232,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03818.lab.830476.iso.1,walker2022,35373160,ERS5284238,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03821.lab.829386.iso.1,walker2022,35373160,ERS5284187,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03822.lab.829849.iso.1,walker2022,35373160,ERS5284215,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03823.lab.827131.iso.1,walker2022,35373160,ERS5284085,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03824.lab.830216.iso.1,walker2022,35373160,ERS5284231,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03826.lab.829412.iso.1,walker2022,35373160,ERS5284191,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03830.lab.827812.iso.1,walker2022,35373160,ERS5284116,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03831.lab.829814.iso.1,walker2022,35373160,ERS5284212,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03836.lab.912076.iso.1,walker2022,35373160,ERS5285478,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03839.lab.831874.iso.1,walker2022,35373160,ERS5284282,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03842.lab.830556.iso.1,walker2022,35373160,ERS5284241,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03843.lab.827402.iso.1,walker2022,35373160,ERS5284094,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03844.lab.829767.iso.1,walker2022,35373160,ERS5284209,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03845.lab.831147.iso.1,walker2022,35373160,ERS5284263,PRJEB41116,NA,S,R,NA,NA
site.04.subj.03846.lab.828904.iso.1,walker2022,35373160,ERS5284162,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03847.lab.828677.iso.1,walker2022,35373160,ERS5284155,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03848.lab.829659.iso.1,walker2022,35373160,ERS5284204,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03849.lab.826815.iso.1,walker2022,35373160,ERS5284074,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03850.lab.831474.iso.1,walker2022,35373160,ERS5284273,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03851.lab.828307.iso.1,walker2022,35373160,ERS5284132,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03854.lab.901503.iso.1,walker2022,35373160,ERS5284510,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03857.lab.913376.iso.1,walker2022,35373160,ERS5285516,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03861.lab.829698.iso.1,walker2022,35373160,ERS5284206,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03862.lab.829502.iso.1,walker2022,35373160,ERS5284196,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03863.lab.831332.iso.1,walker2022,35373160,ERS5284268,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03864.lab.830782.iso.1,walker2022,35373160,ERS5284249,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03865.lab.830688.iso.1,walker2022,35373160,ERS5284246,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03867.lab.831000.iso.1,walker2022,35373160,ERS5284258,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03868.lab.828572.iso.1,walker2022,35373160,ERS5284150,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03869.lab.829921.iso.1,walker2022,35373160,ERS5284221,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03870.lab.826149.iso.1,walker2022,35373160,ERS5284051,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03874.lab.831058.iso.1,walker2022,35373160,ERS5284260,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03875.lab.829858.iso.1,walker2022,35373160,ERS5284217,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03876.lab.831127.iso.1,walker2022,35373160,ERS5284262,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03877.lab.828187.iso.1,walker2022,35373160,ERS5284126,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03879.lab.912994.iso.1,walker2022,35373160,ERS5285502,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03880.lab.830670.iso.1,walker2022,35373160,ERS5284245,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03881.lab.830856.iso.1,walker2022,35373160,ERS5284251,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03882.lab.829625.iso.1,walker2022,35373160,ERS5284203,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03887.lab.830962.iso.1,walker2022,35373160,ERS5284255,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03888.lab.832521.iso.1,walker2022,35373160,ERS5284306,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03889.lab.828246.iso.1,walker2022,35373160,ERS5284130,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03891.lab.830936.iso.1,walker2022,35373160,ERS5284253,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03893.lab.832777.iso.1,walker2022,35373160,ERS5284316,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03897.lab.913053.iso.1,walker2022,35373160,ERS5285504,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03904.lab.828773.iso.1,walker2022,35373160,ERS5284157,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03910.lab.831968.iso.1,walker2022,35373160,ERS5284287,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03912.lab.831424.iso.1,walker2022,35373160,ERS5284634,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03913.lab.830375.iso.1,walker2022,35373160,ERS5284630,PRJEB41116,NA,S,NA,NA,NA
site.04.subj.03922.lab.914205.iso.1,walker2022,35373160,ERS5285535,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03938.lab.831552.iso.1,walker2022,35373160,ERS5284636,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03940.lab.831485.iso.1,walker2022,35373160,ERS5284635,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03953.lab.831680.iso.1,walker2022,35373160,ERS5284637,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03957.lab.832776.iso.1,walker2022,35373160,ERS5284646,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03958.lab.832372.iso.1,walker2022,35373160,ERS5284641,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03959.lab.833024.iso.1,walker2022,35373160,ERS5284647,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03960.lab.830593.iso.1,walker2022,35373160,ERS5284632,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03964.lab.830804.iso.1,walker2022,35373160,ERS5284633,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03965.lab.900753.iso.1,walker2022,35373160,ERS5284485,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03968.lab.832519.iso.1,walker2022,35373160,ERS5284954,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.03970.lab.830780.iso.1,walker2022,35373160,ERS5284248,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03972.lab.832454.iso.1,walker2022,35373160,ERS5284304,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03973.lab.831934.iso.1,walker2022,35373160,ERS5284284,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03975.lab.831547.iso.1,walker2022,35373160,ERS5284274,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03977.lab.832253.iso.1,walker2022,35373160,ERS5284299,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03986.lab.829800.iso.1,walker2022,35373160,ERS5284628,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03989.lab.830874.iso.1,walker2022,35373160,ERS5284944,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03993.lab.830698.iso.1,walker2022,35373160,ERS5284943,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03995.lab.832048.iso.1,walker2022,35373160,ERS5284292,PRJEB41116,NA,S,S,NA,NA
site.04.subj.03998.lab.832973.iso.1,walker2022,35373160,ERS5284324,PRJEB41116,NA,S,R,NA,NA
site.04.subj.03999.lab.832571.iso.1,walker2022,35373160,ERS5284309,PRJEB41116,NA,S,R,NA,NA
site.04.subj.04002.lab.900530.iso.1,walker2022,35373160,ERS5284348,PRJEB41116,NA,NA,S,NA,NA
site.04.subj.04004.lab.829393.iso.1,walker2022,35373160,ERS5284188,PRJEB41116,NA,S,R,NA,NA
site.04.subj.04007.lab.830772.iso.1,walker2022,35373160,ERS5284247,PRJEB41116,NA,S,S,NA,NA
site.04.subj.04009.lab.831675.iso.1,walker2022,35373160,ERS5284277,PRJEB41116,NA,S,S,NA,NA
site.04.subj.04013.lab.831461.iso.1,walker2022,35373160,ERS5284271,PRJEB41116,NA,S,S,NA,NA
site.04.subj.04015.lab.913545.iso.1,walker2022,35373160,ERS5285521,PRJEB41116,NA,S,S,NA,NA
