sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
SS19,"Saeed DK, 2022",35209842,SRR14088365,PRJNA717333,N.T,0.015,0.5,NA,NA
SS20,"Saeed DK, 2022",35209842,SRR14088364,PRJNA717333,N.T,0.015,0.5,NA,NA
1,"Chesov E, 2022",34503982,ERR4872280,PRJEB41518,S,S,NA,NA,NA
2,"Chesov E, 2022",34503982,ERR4872337,PRJEB41518,S,S,NA,NA,NA
2,"Chesov E, 2022",34503982,ERR4872347,PRJEB41518,R,R,NA,NA,NA
3,"Chesov E, 2022",34503982,ERR4872336,PRJEB41518,S,S,NA,NA,NA
4,"Chesov E, 2022",34503982,ERR4872283,PRJEB41518,S,S,NA,NA,NA
4,"Chesov E, 2022",34503982,ERR4872300,PRJEB41518,S,S,NA,NA,NA
5,"Chesov E, 2022",34503982,ERR4872275,PRJEB41518,S,S,NA,NA,NA
6,"Chesov E, 2022",34503982,ERR4872346,PRJEB41518,S,S,NA,NA,NA
7,"Chesov E, 2022",34503982,ERR4872328,PRJEB41518,S,S,NA,NA,NA
8,"Chesov E, 2022",34503982,ERR4872316,PRJEB41518,S,S,NA,NA,NA
9,"Chesov E, 2022",34503982,ERR4872272,PRJEB41518,R,R,NA,NA,NA
9,"Chesov E, 2022",34503982,ERR4872298,PRJEB41518,S,S,NA,NA,NA
10,"Chesov E, 2022",34503982,ERR4872331,PRJEB41518,S,S,NA,NA,NA
10,"Chesov E, 2022",34503982,ERR4872289,PRJEB41518,S,R,NA,NA,NA
11,"Chesov E, 2022",34503982,ERR4872285,PRJEB41518,R,S,NA,NA,NA
12,"Chesov E, 2022",34503982,ERR4872309,PRJEB41518,S,S,NA,NA,NA
12,"Chesov E, 2022",34503982,ERR4872319,PRJEB41518,R,R,NA,NA,NA
13,"Chesov E, 2022",34503982,ERR4872302,PRJEB41518,S,S,NA,NA,NA
14,"Chesov E, 2022",34503982,ERR4872317,PRJEB41518,S,S,NA,NA,NA
14,"Chesov E, 2022",34503982,ERR4872332,PRJEB41518,S,S,NA,NA,NA
15,"Chesov E, 2022",34503982,ERR4872342,PRJEB41518,S,S,NA,NA,NA
16,"Chesov E, 2022",34503982,ERR4872329,PRJEB41518,S,S,NA,NA,NA
16,"Chesov E, 2022",34503982,ERR4872311,PRJEB41518,S,S,NA,NA,NA
17,"Chesov E, 2022",34503982,ERR4872335,PRJEB41518,S,S,NA,NA,NA
18,"Chesov E, 2022",34503982,ERR4872303,PRJEB41518,S,S,NA,NA,NA
19,"Chesov E, 2022",34503982,ERR4872355,PRJEB41518,S,S,NA,NA,NA
20,"Chesov E, 2022",34503982,ERR4872330,PRJEB41518,S,S,NA,NA,NA
21,"Chesov E, 2022",34503982,ERR4872357,PRJEB41518,S,S,NA,NA,NA
21,"Chesov E, 2022",34503982,ERR4872326,PRJEB41518,S,S,NA,NA,NA
22,"Chesov E, 2022",34503982,ERR4872294,PRJEB41518,S,S,NA,NA,NA
23,"Chesov E, 2022",34503982,ERR4872304,PRJEB41518,S,S,NA,NA,NA
24,"Chesov E, 2022",34503982,ERR4872315,PRJEB41518,S,S,NA,NA,NA
24,"Chesov E, 2022",34503982,ERR4872354,PRJEB41518,S,S,NA,NA,NA
25,"Chesov E, 2022",34503982,ERR4872270,PRJEB41518,S,S,NA,NA,NA
26,"Chesov E, 2022",34503982,ERR4872341,PRJEB41518,S,S,NA,NA,NA
26,"Chesov E, 2022",34503982,ERR4872265,PRJEB41518,R,S,NA,NA,NA
27,"Chesov E, 2022",34503982,ERR4872281,PRJEB41518,S,S,NA,NA,NA
27,"Chesov E, 2022",34503982,ERR4872266,PRJEB41518,S,S,NA,NA,NA
28,"Chesov E, 2022",34503982,ERR4872273,PRJEB41518,S,S,NA,NA,NA
29,"Chesov E, 2022",34503982,ERR4872264,PRJEB41518,S,S,NA,NA,NA
29,"Chesov E, 2022",34503982,ERR4872293,PRJEB41518,R,S,NA,NA,NA
30,"Chesov E, 2022",34503982,ERR4872306,PRJEB41518,R,S,NA,NA,NA
31,"Chesov E, 2022",34503982,ERR4872286,PRJEB41518,S,S,NA,NA,NA
32,"Chesov E, 2022",34503982,ERR4872344,PRJEB41518,R,R,NA,NA,NA
33,"Chesov E, 2022",34503982,ERR4872299,PRJEB41518,R,R,NA,NA,NA
34,"Chesov E, 2022",34503982,ERR4872338,PRJEB41518,S,S,NA,NA,NA
34,"Chesov E, 2022",34503982,ERR4872287,PRJEB41518,S,S,NA,NA,NA
35,"Chesov E, 2022",34503982,ERR4872349,PRJEB41518,S,S,NA,NA,NA
35,"Chesov E, 2022",34503982,ERR4872274,PRJEB41518,S,S,NA,NA,NA
36,"Chesov E, 2022",34503982,ERR4872278,PRJEB41518,R,S,NA,NA,NA
37,"Chesov E, 2022",34503982,ERR4872261,PRJEB41518,S,S,NA,NA,NA
37,"Chesov E, 2022",34503982,ERR4872269,PRJEB41518,R,R,NA,NA,NA
38,"Chesov E, 2022",34503982,ERR4872305,PRJEB41518,S,S,NA,NA,NA
38,"Chesov E, 2022",34503982,ERR4872334,PRJEB41518,S,S,NA,NA,NA
39,"Chesov E, 2022",34503982,ERR4872297,PRJEB41518,S,S,NA,NA,NA
40,"Chesov E, 2022",34503982,ERR4872348,PRJEB41518,S,S,NA,NA,NA
40,"Chesov E, 2022",34503982,ERR4872356,PRJEB41518,S,S,NA,NA,NA
41,"Chesov E, 2022",34503982,ERR4872277,PRJEB41518,S,S,NA,NA,NA
41,"Chesov E, 2022",34503982,ERR4872320,PRJEB41518,S,S,NA,NA,NA
42,"Chesov E, 2022",34503982,ERR4872339,PRJEB41518,S,S,NA,NA,NA
43,"Chesov E, 2022",34503982,ERR4872263,PRJEB41518,S,S,NA,NA,NA
