sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824504,gomes2021;huang2019,,SRR6824504,NA,0,0,NA,0,
SRR6824503,gomes2021;huang2019,,SRR6824503,NA,0,0,NA,0,
SRR6824505,gomes2021;huang2019,,SRR6824505,NA,0,0,NA,0,
SRR6824500,gomes2021;huang2019,,SRR6824500,NA,0,0,NA,0,
SRR6824502,gomes2021;huang2019,,SRR6824502,NA,0,1,NA,0,
SRR6824498,gomes2021;huang2019,,SRR6824498,NA,0,0,NA,0,
SRR6824497,gomes2021;huang2019,,SRR6824497,NA,0,0,NA,1,
SRR6824636,gomes2021;huang2019,,SRR6824636,NA,0,0,NA,0,
SRR6824637,gomes2021;huang2019,,SRR6824637,NA,0,0,NA,0,
SRR6824632,gomes2021;huang2019,,SRR6824632,NA,0,0,NA,0,
SRR6824633,gomes2021;huang2019,,SRR6824633,NA,0,0,NA,0,
SRR6824630,gomes2021;huang2019,,SRR6824630,NA,0,0,NA,0,
SRR6824631,gomes2021;huang2019,,SRR6824631,NA,0,0,NA,0,
SRR6824628,gomes2021;huang2019,,SRR6824628,NA,0,0,NA,0,
SRR6824675,gomes2021;huang2019,,SRR6824675,NA,0,0,NA,0,
SRR6824674,gomes2021;huang2019,,SRR6824674,NA,0,0,NA,0,
SRR6824673,gomes2021;huang2019,,SRR6824673,NA,0,0,NA,0,
SRR6824672,gomes2021;huang2019,,SRR6824672,NA,0,0,NA,0,
SRR6824671,huang2019,,SRR6824671,NA,0,0,0,0,
SRR6824670,gomes2021;huang2019,,SRR6824670,NA,0,0,NA,0,
SRR6824669,gomes2021;huang2019,,SRR6824669,NA,0,0,NA,0,
SRR6824668,huang2019,,SRR6824668,NA,0,0,0,0,
SRR6824677,gomes2021;huang2019,,SRR6824677,NA,0,0,NA,0,
SRR6824676,gomes2021;huang2019,,SRR6824676,NA,0,0,NA,0,
SRR6824368,gomes2021;huang2019,,SRR6824368,NA,0,1,NA,0,
SRR6824369,gomes2021;huang2019,,SRR6824369,NA,0,0,NA,0,
SRR6824370,gomes2021;huang2019,,SRR6824370,NA,0,0,NA,0,
SRR6824371,gomes2021;huang2019,,SRR6824371,NA,0,0,NA,0,
SRR6824373,gomes2021;huang2019,,SRR6824373,NA,0,0,NA,0,
SRR6824374,gomes2021;huang2019,,SRR6824374,NA,0,0,NA,0,
SRR6824375,gomes2021;huang2019,,SRR6824375,NA,0,0,NA,0,
SRR6824376,gomes2021;huang2019,,SRR6824376,NA,0,0,NA,0,
SRR6824429,gomes2021;huang2019,,SRR6824429,NA,0,0,NA,0,
SRR6824432,gomes2021;huang2019,,SRR6824432,NA,0,0,NA,0,
SRR6824431,gomes2021;huang2019,,SRR6824431,NA,0,0,NA,0,
SRR6824434,gomes2021;huang2019,,SRR6824434,NA,0,1,NA,0,
SRR6824433,gomes2021;huang2019,,SRR6824433,NA,0,0,NA,0,
SRR6824436,huang2019,,SRR6824436,NA,0,1,1,0,
SRR6824435,gomes2021;huang2019,,SRR6824435,NA,0,0,NA,0,
SRR6824428,gomes2021;huang2019,,SRR6824428,NA,0,0,NA,0,
SRR6824427,gomes2021;huang2019,,SRR6824427,NA,0,0,NA,0,
SRR6824561,gomes2021;huang2019,,SRR6824561,NA,0,0,NA,0,
SRR6824565,gomes2021;huang2019,,SRR6824565,NA,0,0,NA,0,
SRR6824566,gomes2021;huang2019,,SRR6824566,NA,0,0,NA,0,
SRR6824563,gomes2021;huang2019,,SRR6824563,NA,0,0,NA,0,
SRR6824564,gomes2021;huang2019,,SRR6824564,NA,0,0,NA,0,
SRR6824557,gomes2021;huang2019,,SRR6824557,NA,0,0,NA,0,
SRR6824379,gomes2021;huang2019,,SRR6824379,NA,0,0,NA,0,
